meeting_key,driver_name,practice_best_lap,practice_avg_best_lap,practice_total_laps,practice_best_s1,practice_best_s2,practice_best_s3,practice_avg_i1_speed,practice_avg_i2_speed,practice_avg_st_speed,practice_purple_sectors,practice_green_sectors,practice_soft_laps,practice_medium_laps,practice_hard_laps,quali_best_lap,quali_best_s1,quali_best_s2,quali_best_s3,grid_position,finishing_position,points,practice_total_sectors,practice_vs_quali_improvement,practice_total_tire_laps
1210,MAG,73.457,73.93533333333333,70,19.065,34.64,19.502,173.514340731732,171.82111111111112,249.54666666666665,16,386,22.0,37.0,16.0,73.27,19.14,34.574,19.556,17.0,19.0,0.0,73.207,0.1869999999999976,75.0
1210,NOR,72.906,73.58966666666667,64,19.252,34.433,19.166,172.38089668615984,167.2669934640523,239.36013071895425,32,301,33.0,28.0,10.0,72.254,18.807,34.258,19.071,10.0,9.0,2.0,72.851,0.652000000000001,71.0
1210,OCO,73.162,73.74766666666666,77,19.204,34.537,19.408,159.72849002849003,164.38641975308641,241.2962962962963,19,395,31.0,32.0,19.0,71.553,18.728,33.903,18.922,3.0,3.0,15.0,73.149,1.6090000000000089,82.0
1210,PER,72.849,73.29266666666666,81,18.963,34.36,19.296,154.9988344988345,155.73487623487622,241.62004662004665,66,326,34.0,36.0,18.0,73.85,19.475,34.813,19.562,20.0,16.0,0.0,72.619,-1.0009999999999906,88.0
1210,PIA,73.673,74.28766666666667,80,19.19,34.856,19.515,178.9422222222222,170.6842948717949,255.26282051282053,4,378,32.0,38.0,19.0,72.395,18.839,34.302,19.09,11.0,10.0,1.0,73.561,1.2780000000000058,89.0
1210,RUS,73.191,73.949,74,18.999,34.564,19.368,172.57142857142858,160.6404761904762,239.9228607918263,25,346,33.0,38.0,9.0,71.964,18.665,34.101,19.109,8.0,5.0,10.0,72.931,1.2270000000000039,80.0
1210,SAI,72.569,73.06733333333334,68,18.922,34.237,19.247,166.12549916991966,164.27872750931036,237.77372459281196,54,347,33.0,28.0,13.0,71.63,18.774,33.856,18.935,4.0,8.0,4.0,72.406,0.9390000000000072,74.0
1210,SAR,73.851,74.54866666666668,82,19.235,34.912,19.704,174.65256704980843,162.4991461412151,257.5863601532567,8,351,46.0,29.0,16.0,73.113,19.073,34.617,19.423,16.0,18.0,0.0,73.851,0.7379999999999995,91.0
1210,TSU,73.641,74.06633333333333,72,19.206,34.586,19.566,167.32037037037034,159.76421568627453,252.85277777777776,17,397,32.0,25.0,21.0,72.082,18.746,34.183,19.105,9.0,15.0,0.0,73.358,1.5590000000000117,78.0
1210,VER,72.462,73.16066666666667,75,18.954,34.276,19.223,167.16791386441855,163.26872895622895,240.41414141414143,60,302,27.0,41.0,12.0,71.365,18.642,33.902,18.821,1.0,1.0,25.0,72.453,1.0970000000000084,80.0
1210,ZHO,73.354,74.27,77,19.116,34.715,19.51,175.43055555555554,164.0388888888889,255.26777777777775,9,397,42.0,33.0,15.0,73.523,19.07,34.772,19.497,19.0,13.0,0.0,73.34100000000001,-0.16899999999999693,90.0
1211,ALB,75.056,75.84566666666666,73,22.206,30.004,22.743,231.54307568438003,242.08881456707545,294.7035024154589,10,245,25.0,35.0,0.0,74.063,22.045,29.815,22.201,18.0,16.0,0.0,74.953,0.992999999999995,60.0
1211,ALO,74.077,74.62933333333332,68,22.021,29.587,22.311,238.0939393939394,248.89181818181817,273.76654704944184,28,284,38.0,21.0,0.0,73.098,21.889,29.244,21.695,8.0,7.0,6.0,73.91900000000001,0.9789999999999992,59.0
1211,BOT,74.36,74.92866666666667,71,22.203,29.743,22.266,231.47777777777776,246.13290598290595,269.80341880341877,23,237,37.0,27.0,0.0,73.977,22.06,29.679,22.238,16.0,19.0,0.0,74.21199999999999,0.38299999999999557,64.0
